, lack of authorisation and CSRF checks,delete arbitrary file,AJAX action,authenticated users,HTML2WP WordPress plugin,through 1.0.0,
, lack of authorisation and CSRF checks|lack of file validation,upload arbitrary files,importing files,unauthenticated attackers,HTML2WP WordPress plugin,through 1.0.0,
, lack of authorisation and CSRF checks,change settings,CSRF vector,unauthenticated users,Change wp-admin login WordPress plugin,before 1.1.0,
, relative path traversal,Remote Code Execution,upload .php file,privileged user,Pandora FMS,v7.0NG.760 and below,File Manager
, Incorrect Permission Assignment,loss of confidentiality|loss of integrity,,,Horizon,,,session cookies
, ,directory traversal,obtain arbitrary operating system files,,,,,
, ,DoS,denial of service,tapjacking|overlay attack,local attacker,Android,Android-10|Android-11|Android-12,ApplicationsDetailsActivity in AndroidManifest.xml
, improper access controls,execute arbitrary commands,malicious command,authenticated local attacker,Cisco SD-WAN Software,,CLI
, ,execute arbitrary commands|read container image files|upload container image files|cross-site request forgery,,,Cisco Nexus Dashboard,,
, insufficient filename validation,path traversal,,authenticated administrator-level users,Elcomplus SmartICS,v2.3.4.0,
, relative path traversal,write DICOM files into arbitrary directories|remote code execution,,attacker,OFFIS DCMTK,All versions prior to 3.6.7,service class user (SCU)
, lack of proper validation|lack of authorization|lack of csrf checks,upload arbitrary files|remote code execution,,unauthenticated attacker,GREYD.SUITE WordPress theme,,
, failure to set HTTPOnly flag,obtain sensitive information,,remote attacker,IBM Control Desk,7.6.1,
, incorrect access control,view content|download content,path traversal,authenticated attackers,Ovidentia CMS,6.0,FileManager
, lack of security controls,alter Kubernetes cluster's resources,inject workload,local user|local process,Weave GitOps,< v0.12.0,GitOps run
, lack of encryption,alter bucket content,,privileged users|privileged process,Weave GitOps,< v0.12.0,GitOps Run
, Relative Path Traversal,write arbitrary file,specially-crafted package,,GuardDog,prior to 0.1.5,
, configuration loading error,CSRF attacks,,,Symfony,,,form component
, path traversal,bypass CSRF protections|privilege escalation,,attacker,GitHub Enterprise Server,prior to 3.5,management console
, ,steal root privileges,POST request,remote attackers,IPTIME NAS,,
, path traversal,read files,,unauthenticated user,AVEVA InTouch Access Anywhere,2020 R2 and older,secure gateway web server
, failure to set security attributes,transmit session cookies in plaintext,sniff network,unencrypted HTTP protocol,,Desigo DXR2|Desigo PXC3|Desigo PXC4|Desigo PXC5,All versions < V01.21.142.5-22|All versions < V01.21.142.4-18|All versions < V02.20.142.10-10884|All versions < V02.20.142.10-10884,
, ,exposure of home directory|directory traversal,,,Shescape,1.4.0 to 1.5.1,escape|escapeAll functions
, path traversal|improper access control,leak sensitive files,,malicious user,Argo CD,1.3.0 to < 2.1.11|< 2.2.6|< 2.3.0,repo-server
, preservation of session attributes,bypass CSRF protection,,same-site attackers,Symfony,< 4.4,
, path traversal,,,untrusted input,Piano LED Visualizer,1.3 and prior,os.path.join
, lack of origin checking,exfiltrate CSRF token,crafted event message,,Liferay Portal|Liferay DXP,v7.4.3.4 to v7.4.3.8|7.4 before update 5,Remote App module
, absolute path traversal,download any file,HTTP GET request,remote attacker,DVDFab 12 Player,,,
, directory traversal,arbitrary file reads,,,,github.com/argoproj/argo-events/sensors/artifacts,before 1.7.1,GitArtifactReader.Read() API
, symlink following,write outside expected base directory,,,Apache Hadoop,< 3.2.3,unTar function
, relative path traversal,access critical data,,remote unauthenticated attacker,Eclipse GlassFish,5.1.0 to 6.2.5,
, CSRF,create crontab entry|remote code execution,,,iRZ Mobile Routers,through 2022-03-16,/api/crontab
, race condition,execute arbitrary commands,,remote attackers,Synology DiskStation Manager,before 7.1.1-42962-2,Out-of-Band (OOB) Management
, ,use session cookie as CSRF token,,,Octopus Server,,
, path traversal,implant malicious file|execute malicious code,,attackers,Emerson Electric's Proficy Machine Edition,9.80 and prior,
