CVE,ROOTCAUSE,WEAKNESS,IMPACT,VECTOR,ATTACKER,PRODUCT,VERSION,COMPONENT
CVE-2021-21889, ,stack-based buffer overflow,remote code execution,specially crafted HTTP request,attacker,Lantronix PremierWave 2050,8.9.0.0R4,Web Manager Ping functionality
CVE-2021-21890, ,stack-based buffer overflow,remote code execution,specially crafted HTTP request,attacker,Lantronix PremierWave 2050,8.9.0.0R4,Web Manager FsBrowseClean functionality
CVE-2021-21891, ,stack-based buffer overflow,remote code execution,specially crafted HTTP request,attacker,Lantronix PremierWave 2050,8.9.0.0R4,Web Manager FsBrowseClean functionality
CVE-2021-21892, ,stack-based buffer overflow,remote code execution,specially crafted HTTP request,attacker,Lantronix PremierWave 2050,8.9.0.0R4,Web Manager FsUnmount functionality
CVE-2021-21901, ,stack-based buffer overflow, ,specially-crafted packet, ,Garrett Metal Detectors’ iC Module,CMA Version 5.0,CMA check_udp_crc function
CVE-2021-21903, ,stack-based buffer overflow, ,specially-crafted packet, ,Garrett Metal Detectors’ iC Module,CMA Version 5.0,CMA check_udp_crc function
CVE-2021-21905, ,Stack-based buffer overflow, , ,attacker,Garrett Metal Detectors iC Module,CMA Version 5.0,CMA readfile function
CVE-2021-21914, ,heap-based buffer overflow,code execution,specially-crafted file, ,Accusoft ImageGear,19.1,DecoderStream::Append functionality
CVE-2021-21938, ,heap-based buffer overflow,code execution,specially-crafted file, ,Accusoft ImageGear,19.1,Palette box parser functionality
CVE-2021-21939, ,heap-based buffer overflow,code execution,specially-crafted file, ,Accusoft ImageGear,19.1,XWD parser functionality
CVE-2021-21943, ,heap-based buffer overflow,code execution,specially-crafted file, ,Accusoft ImageGear,19.1,XWD parser functionality
CVE-2021-21947, ,heap-based buffer overflow,,specially-crafted file, ,Accusoft ImageGear,19.1,JPEG-JFIF lossless Huffman image parser functionality
CVE-2021-21948, ,heap-based buffer overflow,,specially-crafted GF file, ,AnyCubic Chitubox AnyCubic Plugin,1.0.0,readDatHeadVec functionality
CVE-2021-21950, ,out-of-bounds write,code execution,specially-crafted network packet, ,Anker Eufy Homebase 2,2.1.6.9h,CMD_DEVICE_GET_SERVER_LIST_REQUEST functionality of the home_security binary
CVE-2021-21951, ,out-of-bounds write,code execution,specially-crafted network packet, ,Anker Eufy Homebase 2,2.1.6.9h,CMD_DEVICE_GET_SERVER_LIST_REQUEST functionality of the home_security binary
CVE-2021-21960, ,stack-based buffer overflow,remote code execution,specially-crafted network packet, ,Sealevel Systems Inc. SeaConnect 370W,v1.3.34,LLMNR functionality
CVE-2021-21961, ,stack-based buffer overflow,remote code execution,specially-crafted network packet, ,Sealevel Systems Inc. SeaConnect 370W,v1.3.34,NBNS functionality
CVE-2021-21962, ,heap-based buffer overflow,remote code execution,series of specially-crafted MQTT payloads, ,Sealevel Systems Inc. SeaConnect 370W,v1.3.34,OTA Update u-download functionality
CVE-2021-22437,,software integer overflow,random address access, , ,smartphones, ,
CVE-2021-23138, ,stack-based buffer overflow,remotely execute code, ,,WECON LeviStudioU,Versions 2019-09-21 and prior,
CVE-2021-23157, ,heap-based buffer overflow,remotely execute code, ,,WECON LeviStudioU,Versions 2019-09-21 and prior,
CVE-2021-23158,Double-free, ,write-what-where condition|denial of service, ,,htmldoc,v1.9.12,ps-pdf.cxx
CVE-2021-23165,,Heap buffer overflow,execute arbitrary code|denial of service, , ,htmldoc,before v1.9.12,ps-pdf.cxx
CVE-2021-23169,,heap-buffer overflow,execute arbitrary code, , ,OpenEXR,before 3.0.1,copyIntoFrameBuffer function
CVE-2021-23206,,stack buffer overflow,execute arbitrary code|denial of service, , ,htmldoc,v1.9.12 and prior,ps-pdf.cxx
CVE-2021-24018,,buffer underwrite,execute arbitrary code,specifically crafted firmware image,attacker located in the adjacent network,FortiOS,before 7.0.1,firmware verification routine
CVE-2021-35134,Incorrect Calculation of Buffer Size, ,memory corruption, , ,Snapdragon Connectivity Snapdragon Industrial IOT Snapdragon Mobile,,Boot
CVE-2021-39665,,heap buffer overflow,remote information disclosure, , ,Android,Android-12,checkSpsUpdated of AAVCAssembler.cpp
CVE-2021-40765,,memory corruption,arbitrary code execution,M4A file, ,Adobe Character Animator,4.4 (and earlier),
