"","CVE","ROOTCAUSE","WEAKNESS","IMPACT","VECTOR","ATTACKER","PRODUCT","VERSION","COMPONENT"
"616","CVE-2021-41561","improper input validation","","DoS","malicious Parquet files","attacker","Apache Parquet-MR","1.9.0 and later versions",""
"619","CVE-2021-41585","improper input validation","","stop accepting new connections","","attacker","Apache Traffic Server","5.0.0 to 9.1.0",""
"620","CVE-2021-41769","improper input validation","","access device information","","unauthenticated user","SIPROTEC 5 devices","All versions < V8.83","web server"
"621","CVE-2021-41772","improper input validation","","panic","crafted ZIP archive","","Go","before 1.16.10 and 1.17.x before 1.17.3","archive/zip Reader.Open"
"625","CVE-2022-29201","improper input validation","","","","","TensorFlow","prior to 2.9.0, 2.8.1, 2.7.2, and 2.6.4","tf.raw_ops.QuantizedConv2D"
"629","CVE-2022-29466","improper input validation","","denial of service","","authenticated user","Intel(R) SPS","before SPS_E3_04.01.04.700.0",""
"631","CVE-2022-29492","improper input validation","","denial-of-service","malformed IEC 104 TCP packet","","Hitachi Energy MicroSCADA X SYS600|MicroSCADA Pro SYS600","9.4 FP2 Hotfix 4 and earlier versions, 10 to 10.3.1",""
"635","CVE-2022-29897","improper input validation","","execute arbitrary code with root privileges","","","RAD-ISM-900-EN-* devices by PHOENIX CONTACT","","traceroute utility in WebUI"
"636","CVE-2022-29922","improper input validation","","denial-of-service","specially crafted IEC 61850 packet","","Hitachi Energy MicroSCADA X SYS600|MicroSCADA Pro SYS600","9.4 FP2 Hotfix 4 and earlier versions, 10 to 10.3.1","IEC 61850 OPC Server"
"638","CVE-2022-30232","improper input validation","","remote code execution","intercept and modify a request","","Wiser Smart|EER21000|EER21001","V4.5 and prior",""
"639","CVE-2022-30233","improper input validation","","maliciously manipulated","","","Wiser Smart|EER21000|EER21001","V4.5 and prior",""
"6945","CVE-2021-41561","Improper Input Validation","DoS","","","attacker","Apache Parquet","1.9.0 and later versions","Parquet-MR"
"6946","CVE-2021-41585","Improper Input Validation","stop accepting new connections","","","attacker","Apache Traffic Server","5.0.0 to 9.1.0","accepting socket connections"
"6947","CVE-2021-41769","improper input validation","access device information","","","unauthenticated user","SIPROTEC 5 devices","All versions < V8.83","web server"
"6948","CVE-2021-41772","","panic","","","","","before 1.16.10 and 1.17.x before 1.17.3","archive/zip Reader.Open"
"6949","CVE-2022-29201","","","","","","","Prior to versions 2.9.0|2.8.1|2.7.2|2.6.4","tf.raw_ops.QuantizedConv2D"
"6950","CVE-2022-29466","Improper input validation","denial of service","","local access","authenticated user","Intel(R) SPS","before version SPS_E3_04.01.04.700.0",""
"6951","CVE-2022-29492","Improper Input Validation","denial-of-service","","","","","version 9.4 FP2 Hotfix 4 and earlier versions|version 10 to version 10.3.1","handling of a malformed IEC 104 TCP packet"
"6952","CVE-2022-29897","improper input validation","execute arbitrary code with root privileges","","","admin user","PHOENIX CONTACT RAD-ISM-900-EN-* devices","all versions","traceroute utility integrated in the WebUI"
"6953","CVE-2022-29922","Improper Input Validation","denial-of-service","specially crafted IEC 61850 packet","","","Hitachi Energy MicroSCADA X SYS600|MicroSCADA Pro SYS600","version 9.4 FP2 Hotfix 4 and earlier versions|version 10 to version 10.3.1","IEC 61850 OPC Server"
"6954","CVE-2022-30232","Improper Input Validation","remote code execution","","","attacker","Wiser Smart|EER21000|EER21001","V4.5 and prior",""
"6955","CVE-2022-30233","Improper Input Validation","maliciously manipulated","","","","","V4.5 and prior",""
