"cve_id","Container","adp_providerMetadata_orgId","adp_providerMetadata_shortName","adp_providerMetadata_dateUpdated","CVE_Description","cna_providerMetadata_orgId","cna_providerMetadata_shortName","cna_providerMetadata_dateUpdated","CWE_ID","CWE_Description"
"CVE-2021-35559","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-25T16:05:50.566Z","Vulnerability in the Java SE, Oracle GraalVM Enterprise Edition product of Oracle Java SE (component: Swing). Supported versions that are affected are Java SE: 7u311, 8u301, 11.0.12, 17; Oracle GraalVM Enterprise Edition: 20.3.3 and 21.2.0. Easily exploitable vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Java SE, Oracle GraalVM Enterprise Edition. Successful attacks of this vulnerability can result in unauthorized ability to cause a partial denial of service (partial DOS) of Java SE, Oracle GraalVM Enterprise Edition. Note: This vulnerability applies to Java deployments, typically in clients running sandboxed Java Web Start applications or sandboxed Java applets, that load and run untrusted code (e.g., code that comes from the internet) and rely on the Java sandbox for security. This vulnerability can also be exploited by using APIs in the specified Component, e.g., through a web service which supplies data to the APIs. CVSS 3.1 Base Score 5.3 (Availability impacts). CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L).","","","","CWE-400","CWE-400 Uncontrolled Resource Consumption"
"CVE-2021-26928","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-01T15:18:46.280Z","BIRD through 2.0.7 does not provide functionality for password authentication of BGP peers. Because of this, products that use BIRD (which may, for example, include Tigera products in some configurations, as well as products of other vendors) may have been susceptible to route redirection for Denial of Service and/or Information Disclosure. NOTE: a researcher has asserted that the behavior is within Tigeras area of responsibility; however, Tigera disagrees","","","","CWE-306","CWE-306 Missing Authentication for Critical Function"
"CVE-2021-26918","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-01T15:09:54.735Z","The ProBot bot through 2021-02-08 for Discord might allow attackers to interfere with the intended purpose of the ""Send an image when a user joins the server"" feature (or possibly have unspecified other impact) because the uploader web service allows double extensions (such as .html.jpg) with the text/html content type. NOTE: there may not be cases in which an uploader web service is customer controlled; however, the nature of the issue has substantial interaction with customer controlled configuration. NOTE: the vendor states ""This is just an uploader (like any other one) which uploads files to cloud storage and accepts various file types. There is no kind of vulnerability and it won't compromise either the client side or the server side.","","","","CWE-434","CWE-434 Unrestricted Upload of File with Dangerous Type"
"CVE-2021-34983","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-08T15:08:02.757Z","NETGEAR Multiple Routers httpd Missing Authentication for Critical Function Information Disclosure Vulnerability. This vulnerability allows network-adjacent attackers to disclose sensitive information on affected installations of multiple NETGEAR routers. Authentication is not required to exploit this vulnerability.  The specific flaw exists within the httpd service, which listens on TCP port 80 by default. The issue results from the lack of authentication prior to allowing access to system configuration information. An attacker can leverage this vulnerability to disclose stored credentials, leading to further compromise. Was ZDI-CAN-13708.","","","","CWE-120","CWE-120 Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')"
"CVE-2021-33990","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-07-12T15:32:38.330Z","Liferay Portal 6.2.5 allows Command=FileUpload&Type=File&CurrentFolder=/ requests when frmfolders.html exists. NOTE: The vendor disputes this issue because the exploit reference link only shows frmfolders.html is accessible and does not demonstrate how an unauthorized user can upload a file.","","","","CWE-78","CWE-78 Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')"
"CVE-2021-33161","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-22T18:39:19.840Z","Improper input validation in some Intel(R) Ethernet Adapters and Intel(R) Ethernet Controller I225 Manageability firmware may allow a privileged user to potentially enable escalation of privilege via local access.","","","","CWE-20","CWE-20 Improper Input Validation"
"CVE-2021-33145","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-22T15:07:40.494Z","Uncaught exception in some Intel(R) Ethernet Adapters and Intel(R) Ethernet Controller I225 Manageability firmware may allow a privileged user to potentially enable escalation of privilege via local access.","","","","CWE-248","CWE-248 Uncaught Exception"
"CVE-2021-33146","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-23T16:14:03.635Z","Improper input validation in some Intel(R) Ethernet Adapters and Intel(R) Ethernet Controller I225 Manageability firmware may allow an unauthenticated user to potentially enable information disclosure via network access.","","","","CWE-200","CWE-200 Exposure of Sensitive Information to an Unauthorized Actor"
"CVE-2021-4440","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-26T13:57:16.433Z","In the Linux kernel, the following vulnerability has been resolved:  x86/xen: Drop USERGS_SYSRET64 paravirt call  commit afd30525a659ac0ae0904f0cb4a2ca75522c3123 upstream.  USERGS_SYSRET64 is used to return from a syscall via SYSRET, but a Xen PV guest will nevertheless use the IRET hypercall, as there is no sysret PV hypercall defined.  So instead of testing all the prerequisites for doing a sysret and then mangling the stack for Xen PV again for doing an iret just use the iret exit from the beginning.  This can easily be done via an ALTERNATIVE like it is done for the sysenter compat case already.  It should be noted that this drops the optimization in Xen for not restoring a few registers when returning to user mode, but it seems as if the saved instructions in the kernel more than compensate for this drop (a kernel build in a Xen PV guest was slightly faster with this patch applied).  While at it remove the stale sysret32 remnants.    [ pawan: Brad Spengler and Salvatore Bonaccorso <carnil@debian.org>    reported a problem with the 5.10 backport commit edc702b4a820    (""x86/entry_64: Add VERW just before userspace transition"").     When CONFIG_PARAVIRT_XXL=y, CLEAR_CPU_BUFFERS is not executed in    syscall_return_via_sysret path as USERGS_SYSRET64 is runtime    patched to:  .cpu_usergs_sysret64    = { 0x0f, 0x01, 0xf8,     0x48, 0x0f, 0x07 }, // swapgs; sysretq     which is missing CLEAR_CPU_BUFFERS. It turns out dropping    USERGS_SYSRET64 simplifies the code, allowing CLEAR_CPU_BUFFERS    to be explicitly added to syscall_return_via_sysret path. Below    is with CONFIG_PARAVIRT_XXL=y and this patch applied:     syscall_return_via_sysret:    ...    <+342>:   swapgs    <+345>:   xchg   %ax,%ax    <+347>:   verw   -0x1a2(%rip)  <------    <+354>:   sysretq   ]","","","","CWE-400","CWE-400 Uncontrolled Resource Consumption"
"CVE-2021-47464","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-17T16:08:53.645Z","In the Linux kernel, the following vulnerability has been resolved:  audit: fix possible null-pointer dereference in audit_filter_rules  Fix  possible null-pointer dereference in audit_filter_rules.  audit_filter_rules() error: we previously assumed 'ctx' could be null","","","","CWE-476","CWE-476 NULL Pointer Dereference"
