"CVE","Description","Chains","Weakness_Description","ROOTCAUSE","WEAKNESS","IMPACT","VECTOR","ATTACKER","PRODUCT","VERSION","COMPONENT","missing","extra","JSON"
"CVE-2021-0676","In geniezone driver, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05863009; Issue ID: ALPS05863009.","CWE-20->CWE-125","out of bounds read due to an incorrect bounds check","incorrect bounds check","out of bounds read","local information disclosure","","","","","geniezone driver","","local, information, disclosure","{""ROOTCAUSE"": ""incorrect bounds check"", ""WEAKNESS"": ""out of bounds read"", ""IMPACT"": ""local information disclosure"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": null, ""VERSION"": null, ""COMPONENT"": ""geniezone driver""}"
"CVE-2021-0677","In ccu driver, there is a possible out of bounds read due to an integer overflow. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05827154; Issue ID: ALPS05827154.","CWE-190->CWE-125","out of bounds read due to an integer overflow","","integer overflow | out of bounds read","local information disclosure","","","","","ccu driver","","nan, local, information, disclosure","{""ROOTCAUSE"": null, ""WEAKNESS"": [""integer overflow "", "" out of bounds read""], ""IMPACT"": ""local information disclosure"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": null, ""VERSION"": null, ""COMPONENT"": ""ccu driver""}"
"CVE-2021-0678","In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05722511.","CWE-20->CWE-787","out of bounds write due to a missing bounds check","missing bounds check","out of bounds write","local escalation of privilege","","","","","apusys","","escalation, local, privilege","{""ROOTCAUSE"": ""missing bounds check"", ""WEAKNESS"": ""out of bounds write"", ""IMPACT"": ""local escalation of privilege"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": null, ""VERSION"": null, ""COMPONENT"": ""apusys""}"
"CVE-2021-0679","In apusys, there is a possible memory corruption due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05687781.","","possible memory corruption","missing bounds check","memory corruption","local escalation of privilege","","","","","apusys","","check, of, missing, escalation, local, privilege, bounds","{""ROOTCAUSE"": ""missing bounds check"", ""WEAKNESS"": ""memory corruption"", ""IMPACT"": ""local escalation of privilege"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": null, ""VERSION"": null, ""COMPONENT"": ""apusys""}"
"CVE-2021-0895","In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05672003.","CWE-20->CWE-787","out of bounds write due to a missing bounds check","missing bounds check","out of bounds write","local escalation of privilege","","","","","apusys","","escalation, local, privilege","{""ROOTCAUSE"": ""missing bounds check"", ""WEAKNESS"": ""out of bounds write"", ""IMPACT"": ""local escalation of privilege"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": null, ""VERSION"": null, ""COMPONENT"": ""apusys""}"
"CVE-2021-0896","In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05671206.","CWE-20->CWE-787","out of bounds write due to a missing bounds check","missing bounds check","out of bounds write","local escalation of privilege","","","","","apusys","","escalation, local, privilege","{""ROOTCAUSE"": ""missing bounds check"", ""WEAKNESS"": ""out of bounds write"", ""IMPACT"": ""local escalation of privilege"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": null, ""VERSION"": null, ""COMPONENT"": ""apusys""}"
"CVE-2021-0900","In apusys, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05672055.","CWE-20->CWE-125","out of bounds read due to an incorrect bounds check","incorrect bounds check","out of bounds read","local information disclosure","","","","","apusys","","local, information, disclosure","{""ROOTCAUSE"": ""incorrect bounds check"", ""WEAKNESS"": ""out of bounds read"", ""IMPACT"": ""local information disclosure"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": null, ""VERSION"": null, ""COMPONENT"": ""apusys""}"
"CVE-2021-0902","In apusys, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05656484.","CWE-20->CWE-125","out of bounds read due to an incorrect bounds check","incorrect bounds check","out of bounds read","local information disclosure","","","","","apusys","","local, information, disclosure","{""ROOTCAUSE"": ""incorrect bounds check"", ""WEAKNESS"": ""out of bounds read"", ""IMPACT"": ""local information disclosure"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": null, ""VERSION"": null, ""COMPONENT"": ""apusys""}"
"CVE-2021-0903","In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05656488.","CWE-20->CWE-787","possible out of bounds write due to a missing bounds check","missing bounds check","out of bounds write","local escalation of privilege","","","","","apusys","","escalation, local, privilege","{""ROOTCAUSE"": ""missing bounds check"", ""WEAKNESS"": ""out of bounds write"", ""IMPACT"": ""local escalation of privilege"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": null, ""VERSION"": null, ""COMPONENT"": ""apusys""}"
"CVE-2021-0955","In pf_write_buf of FuseDaemon.cpp, there is possible memory corruption due to a race condition. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-11Android ID: A-192085766","CWE-362->CWE-416","due to a race condition","race condition","memory corruption","local escalation of privilege","","","Android","Android-11","pf_write_buf of FuseDaemon.cpp","","memory, of, corruption, escalation, local, privilege","{""ROOTCAUSE"": ""race condition"", ""WEAKNESS"": ""memory corruption"", ""IMPACT"": ""local escalation of privilege"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""Android"", ""VERSION"": ""Android-11"", ""COMPONENT"": ""pf_write_buf of FuseDaemon.cpp""}"
