"Description","JSON"
"In geniezone driver, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05863009; Issue ID: ALPS05863009.","{""ROOTCAUSE"": ""incorrect bounds check"", ""WEAKNESS"": ""out of bounds read"", ""IMPACT"": ""local information disclosure"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""nan"", ""VERSION"": ""nan"", ""COMPONENT"": ""geniezone driver""}"
"In ccu driver, there is a possible out of bounds read due to an integer overflow. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05827154; Issue ID: ALPS05827154.","{""ROOTCAUSE"": ""integer overflow"", ""WEAKNESS"": ""out of bounds read"", ""IMPACT"": ""local information disclosure"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""nan"", ""VERSION"": ""nan"", ""COMPONENT"": ""ccu driver""}"
"In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05722511.","{""ROOTCAUSE"": ""missing bounds check"", ""WEAKNESS"": ""out of bounds write"", ""IMPACT"": ""local escalation of privilege"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""nan"", ""VERSION"": ""nan"", ""COMPONENT"": ""apusys""}"
"In apusys, there is a possible memory corruption due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05687781.","{""ROOTCAUSE"": ""missing bounds check"", ""WEAKNESS"": ""memory corruption"", ""IMPACT"": ""local escalation of privilege"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""nan"", ""VERSION"": ""nan"", ""COMPONENT"": ""apusys""}"
"In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05672003.","{""ROOTCAUSE"": ""missing bounds check"", ""WEAKNESS"": ""out of bounds write"", ""IMPACT"": ""local escalation of privilege"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""nan"", ""VERSION"": ""nan"", ""COMPONENT"": ""apusys""}"
"In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05671206.","{""ROOTCAUSE"": ""missing bounds check"", ""WEAKNESS"": ""out of bounds write"", ""IMPACT"": ""local escalation of privilege"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""nan"", ""VERSION"": ""nan"", ""COMPONENT"": ""apusys""}"
"In apusys, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05672055.","{""ROOTCAUSE"": ""incorrect bounds check"", ""WEAKNESS"": ""out of bounds read"", ""IMPACT"": ""local information disclosure"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""nan"", ""VERSION"": ""nan"", ""COMPONENT"": ""apusys""}"
"In apusys, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05656484.","{""ROOTCAUSE"": ""incorrect bounds check"", ""WEAKNESS"": ""out of bounds read"", ""IMPACT"": ""local information disclosure"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""nan"", ""VERSION"": ""nan"", ""COMPONENT"": ""apusys""}"
"In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05656488.","{""ROOTCAUSE"": ""missing bounds check"", ""WEAKNESS"": ""out of bounds write"", ""IMPACT"": ""local escalation of privilege"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""nan"", ""VERSION"": ""nan"", ""COMPONENT"": ""apusys""}"
"In pf_write_buf of FuseDaemon.cpp, there is possible memory corruption due to a race condition. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-11Android ID: A-192085766","{""ROOTCAUSE"": ""race condition"", ""WEAKNESS"": ""memory corruption"", ""IMPACT"": ""local escalation of privilege"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Android"", ""VERSION"": ""Android-11"", ""COMPONENT"": ""pf_write_buf of FuseDaemon.cpp""}"
